"YOE","O1","O1E","O2","O2E","O3","O3E","O4","O5","O6","O7","O8","O9","O10"
"2 or less",3386,NA,3901,NA,4515,NA,5135,5951,7139,9414,11330,NA,NA
"Over 2",3524,NA,4443,NA,5118,NA,5944,6704,7843,9851,11701,NA,NA
"Over 3",4261,NA,5117,NA,5523,NA,6341,7168,8358,10054,11948,NA,NA
"Over 4",4261,NA,5290,NA,6023,NA,6429,7256,8358,10215,12016,NA,NA
"Over 6",4261,NA,5399,NA,6312,NA,6797,7546,8390,10506,12323,NA,NA
"Over 8",4261,NA,5399,NA,6628,NA,7192,7718,8749,10794,12837,NA,NA
"Over 10",4261,NA,5399,NA,6833,NA,7684,8099,8797,11127,12956,NA,NA
"Over 12",4261,NA,5399,NA,7169,NA,8067,8380,8797,11458,13444,NA,NA
"Over 14",4261,NA,5399,NA,7345,NA,8333,8741,9297,11791,13584,NA,NA
"Over 16",4261,NA,5399,NA,7345,NA,8486,9293,10181,12837,14004,NA,NA
"Over 18",4261,NA,5399,NA,7345,NA,8574,9556,10699,13719,14612,NA,NA
"Over 20",4261,NA,5399,NA,7345,NA,8574,9816,11218,13719,15172,16013,16608
"Over 22",4261,NA,5399,NA,7345,NA,8574,10111,11513,13719,15546,16244,16608
"Over 24",4261,NA,5399,NA,7345,NA,8574,10111,11812,13719,15546,16577,16608
"Over 26",4261,NA,5399,NA,7345,NA,8574,10111,12391,13790,15546,16608,16608
"Over 28",4261,NA,5399,NA,7345,NA,8574,10111,12391,13790,15546,16608,16608
"Over 30",4261,NA,5399,NA,7345,NA,8574,10111,12638,14066,15935,16608,16608
"Over 32",4261,NA,5399,NA,7345,NA,8574,10111,12638,14066,15935,16608,16608
"Over 34",4261,NA,5399,NA,7345,NA,8574,10111,12638,14066,16333,16608,16608
"Over 36",4261,NA,5399,NA,7345,NA,8574,10111,12638,14066,16333,16608,16608
"Over 38",4261,NA,5399,NA,7345,NA,8574,10111,12638,14066,16333,16608,16608
"Over 40",4261,NA,5399,NA,7345,NA,8574,10111,12638,14066,16333,16608,16608
