"YOE","O1","O1E","O2","O2E","O3","O3E","O4","O5","O6","O7","O8","O9","O10"
"2 or less",3477,NA,4007,NA,4637,NA,5274,6112,7332,9668,11636,NA,NA
"Over 2",3620,NA,4563,NA,5256,NA,6104,6885,8055,10118,12017,NA,NA
"Over 3",4376,NA,5255,NA,5672,NA,6512,7362,8583,10325,12270,NA,NA
"Over 4",4376,4376,5433,5433,6185,6185,6603,7451,8583,10491,12341,NA,NA
"Over 6",4376,4672,5544,5544,6482,6482,6981,7749,8616,10790,12656,NA,NA
"Over 8",4376,4845,5544,5721,6807,6807,7386,7927,8985,11085,13183,NA,NA
"Over 10",4376,5022,5544,6019,7017,7017,7892,8318,9035,11427,13306,NA,NA
"Over 12",4376,5195,5544,6249,7363,7363,8285,8606,9035,11768,13807,NA,NA
"Over 14",4376,5433,5544,6421,7544,7655,8558,8977,9548,12110,13951,NA,NA
"Over 16",4376,5433,5544,6421,7544,7823,8715,9544,10455,13183,14382,NA,NA
"Over 18",4376,5433,5544,6421,7544,8051,8805,9814,10988,14090,15006,NA,NA
"Over 20",4376,5433,5544,6421,7544,8051,8805,10081,11521,14090,15581,16445,16975
"Over 22",4376,5433,5544,6421,7544,8051,8805,10384,11824,14090,15966,16682,16975
"Over 24",4376,5433,5544,6421,7544,8051,8805,10384,12131,14090,15966,16975,16975
"Over 26",4376,5433,5544,6421,7544,8051,8805,10384,12725,14162,15966,16975,16975
"Over 28",4376,5433,5544,6421,7544,8051,8805,10384,12725,14162,15966,16975,16975
"Over 30",4376,5433,5544,6421,7544,8051,8805,10384,12980,14446,16366,16975,16975
"Over 32",4376,5433,5544,6421,7544,8051,8805,10384,12980,14446,16366,16975,16975
"Over 34",4376,5433,5544,6421,7544,8051,8805,10384,12980,14446,16774,16975,16975
"Over 36",4376,5433,5544,6421,7544,8051,8805,10384,12980,14446,16774,16975,16975
"Over 38",4376,5433,5544,6421,7544,8051,8805,10384,12980,14446,16774,16975,16975
"Over 40",4376,5433,5544,6421,7544,8051,8805,10384,12980,14446,16774,16975,16975
