YOE,O1,O1E,O2,O2E,O3,O3E,O4,O5,O6,O7,O8,O9,O10
2 or less,4150.34,NA,4781.86,NA,5534.2,NA,6294.64,7295.48,8751.27,11540.17,13888.44,NA,NA
Over 2,4320.05,NA,5446.07,NA,6273.78,NA,7286.45,8218.16,9613.85,12076.09,14344.02,NA,NA
Over 3,5222.49,NA,6272.53,NA,6770.46,NA,7773.48,8787.09,10245.06,12324.28,14645.45,NA,NA
Over 4,5222.49,5222.49,6484.59,6484.59,7382.67,7382.67,7880.91,8894.21,10245.06,12522.02,14729.53,NA,NA
Over 6,5222.49,5576.55,6617.56,6617.56,7737.04,7737.04,8332.13,9249.51,10284.3,12878.57,15106.64,NA,NA
Over 8,5222.49,5783.01,6617.56,6828.07,8125.36,8125.36,8816.36,9461.27,10724.93,13231.7,15735.35,NA,NA
Over 10,5222.49,5993.83,6617.56,7183.69,8375.73,8375.73,9419.85,9928.37,10783.47,13639.32,15882.02,NA,NA
Over 12,5222.49,6200.6,6617.56,7458.96,8788.33,8788.33,9888.2,10271.84,10783.47,14045.7,16479.6,NA,NA
Over 14,5222.49,6484.59,6617.56,7663.55,9004.13,9137.1,10214.54,10714.96,11396.31,14454.25,16651.8,NA,NA
Over 16,5222.49,6484.59,6617.56,7663.55,9004.13,9337.02,10401.69,11391.32,12479.67,15735.35,17166.55,NA,NA
Over 18,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,11713.93,13115.55,16817.78,17911.73,NA,NA
Over 20,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,12032.81,13751.11,16817.78,18598.05,19522.91,19522.91
Over 22,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,12394.65,14112.96,16817.78,19056.75,19522.91,19522.91
Over 24,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,12394.65,14479.17,16817.78,19056.75,19522.91,19522.91
Over 26,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,12394.65,15188.85,16904.35,19056.75,19522.91,19522.91
Over 28,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,12394.65,15188.85,16904.35,19056.75,19522.91,19522.91
Over 30,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,12394.65,15492.15,17242.22,19522.91,19522.91,19522.91
Over 32,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,12394.65,15492.15,17242.22,19522.91,19522.91,19522.91
Over 34,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,12394.65,15492.15,17242.22,19522.91,19522.91,19522.91
Over 36,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,12394.65,15492.15,17242.22,19522.91,19522.91,19522.91
Over 38,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,12394.65,15492.15,17242.22,19522.91,19522.91,19522.91
Over 40,5222.49,6484.59,6617.56,7663.55,9004.13,9609.49,10509.75,12394.65,15492.15,17242.22,19522.91,19522.91,19522.91
