"YOE","O1","O1E","O2","O2E","O3","O3E","O4","O5","O6","O7","O8","O9","O10"
"2 or less",3637,NA,4191,NA,4850,NA,5516,6393,7669,10113,12171,NA,NA
"Over 2",3786,NA,4773,NA,5498,NA,6385,7202,8425,10583,12570,NA,NA
"Over 3",4577,NA,5497,NA,5933,NA,6812,7700,8978,10800,12834,NA,NA
"Over 4",4577,NA,5683,NA,6470,NA,6906,7794,8978,10973,12908,NA,NA
"Over 6",4577,NA,5799,NA,6780,NA,7302,8106,9013,11286,13238,NA,NA
"Over 8",4577,NA,5799,NA,7121,NA,7726,8291,9399,11595,13790,NA,NA
"Over 10",4577,NA,5799,NA,7340,NA,8255,8701,9450,11953,13918,NA,NA
"Over 12",4577,NA,5799,NA,7702,NA,8666,9002,9450,12309,14442,NA,NA
"Over 14",4577,NA,5799,NA,7891,NA,8951,9390,9987,12667,14593,NA,NA
"Over 16",4577,NA,5799,NA,7891,NA,9116,9983,10936,13790,15044,NA,NA
"Over 18",4577,NA,5799,NA,7891,NA,9210,10265,11494,14738,15697,NA,NA
"Over 20",4577,NA,5799,NA,7891,NA,9210,10545,12050,14738,16298,17201,17675
"Over 22",4577,NA,5799,NA,7891,NA,9210,10862,12368,14738,16700,17450,17675
"Over 24",4577,NA,5799,NA,7891,NA,9210,10862,12689,14738,16700,17675,17675
"Over 26",4577,NA,5799,NA,7891,NA,9210,10862,13311,14814,16700,17675,17675
"Over 28",4577,NA,5799,NA,7891,NA,9210,10862,13311,14814,16700,17675,17675
"Over 30",4577,NA,5799,NA,7891,NA,9210,10862,13577,15110,17118,17675,17675
"Over 32",4577,NA,5799,NA,7891,NA,9210,10862,13577,15110,17118,17675,17675
"Over 34",4577,NA,5799,NA,7891,NA,9210,10862,13577,15110,17546,17675,17675
"Over 36",4577,NA,5799,NA,7891,NA,9210,10862,13577,15110,17546,17675,17675
"Over 38",4577,NA,5799,NA,7891,NA,9210,10862,13577,15110,17546,17675,17675
"Over 40",4577,NA,5799,NA,7891,NA,9210,10862,13577,15110,17546,17675,17675
